titulo,empresa,local,salario,link,descricao
Desenvolvedor PHP Pleno,MUV RECURSOS HUMANOS,Porto Alegre - RS,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-php-pleno-em-rio-grande-do-sul__11831893.aspx,"Visão Geral da Posição: Empresa especializada em soluções tributárias, que combina conhecimento técnico, tecnologia e inteligência de dados para apoia..."
Desenvolvedor De Sistemas,Não informada,Porto Alegre - RS,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-sistemas-em-rio-grande-do-sul__11834267.aspx,Desenvolvimento e manutenção de rotinas de automação de processos (RPA) utilizando Python e bibliotecas como Selenium para interação com sistemas jurí...
PROGRAMADOR EM DELPHI,Não informada,Porto Alegre - RS,A combinar,https://www.infojobs.com.br/vaga-de-programador-delphi-em-rio-grande-do-sul__10192029.aspx,PROGRAMADOR EM LINGUAGEM DELPHI COM CONHECIMENTO BANCO DE DADOS FIREBIRD.
DBA SQL,Não informada,Porto Alegre - RS,A combinar,https://www.infojobs.com.br/vaga-de-dba-sql-em-rio-grande-do-sul__12004511.aspx,"Buscamos uma pessoa DBA Pleno para administrar, monitorar e aprimorar seus ambientes de bancos de dados. Procuramos um profissional com sólida experi..."
Encarregado De Operações,Não informada,Porto Alegre - RS,A combinar,https://www.infojobs.com.br/vaga-de-encarregado-operacoes-em-rio-grande-do-sul__11987121.aspx,O Encarregado de Operações será responsável por coordenar e gerenciar as atividades de transporte e atendimento . Funções Gerenciar e coordenar equip...
Desenvolvedor Java Júnior - PCD,Zarbe Arievilo,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-java-junior-pcd-em-__12004561.aspx,"Sobre a vaga Empresa do setor de tecnologia, com foco em gestão de identidades e atuação estratégica na área de cybersecurity. Com mais de 20 anos de ..."
Desenvolvedor(A) Backend Sênior,Não informada,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedora-backend-senior-em-__12002330.aspx,"A IdealTrack, projeto do Grupo Ideal Trends, está em busca de um(a) Desenvolvedor (a) Backend Sênior para atuar na construção e evolução da arquitetura..."
Desenvolvedor(A) Full-Stack – Plataforma Web Gamificada,Interação - Soluções Inteligentes,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedora-full-stack-plataforma-web-gamificada-em-__12015836.aspx,"A Interação está construindo um produto que combina Inteligência Artificial, educação e gamificação para apoiar jornadas de aprendizado e desenvolvime..."
Desenvolvedor Devops Backend Sênior,Não informada,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-devops-backend-senior-em-__11985552.aspx,"Procuramos uma Pessoa Desenvolvedora DevOps Back-End Sênior com perfil altamente técnico e foco em desenvolvimento back-end com Node.js, ambientes em ..."
Desenvolvedor(A) React,D2W,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedora-react-em-__11988234.aspx,"Resumo Buscamos um(a) desenvolvedor (a) Pleno/Sênior para liderar a evolução e otimização da nossa camada de front-end em React, apoiando também a manu..."
Analista Desenvolvedor Back End .NET 8 + React | Sênior,King of Languages,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-analista-desenvolvedor-back-end-net-8-react-senior-em-__11699247.aspx,Sobre nós: Somos uma EdTech em rápido crescimento com mais de 5.000 alunos ativos e mais de 850 professores dentro de nossa plataforma própria. Temos ...
Desenvolvedor De IA Sênior,POSITIVO S+,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-ia-senior-em-__11951239.aspx,"Temos uma oportunidade incrível para Desenvolvedor de IA Sênior - Home office A Positivo S+ é uma empresa de tecnologia, com foco em soluções inovador..."
Desenvolvedor DATASUL,ERP2BIZ Tecnologia e Projetos Ltda,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-datasul-em-__11901653.aspx,"Estamos em busca de um profissional para integrar nossa equipe como Desenvolvedor TOTVS Datasul, contribuindo para o desenvolvimento de soluções de al..."
Desenvolvedor(A) Salesforce Field Service Pleno,BM VAGAS EMPREGOS E RH ESTRATÉGICO.,Todo Brasil,"R$ 6.500,00 a R$ 8.000,00",https://www.infojobs.com.br/vaga-de-desenvolvedora-salesforce-field-service-pleno-em-__11855676.aspx,"A BM Vagas, em parceria com empresa conceituada de tecnologia, busca por uma pessoa desenvolvedora Salesforce com experiência em Field Service para at..."
Desenvolvedor(A) Typescript · Fullstack,Não informada,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedora-typescript-fullstack-em-__11863440.aspx,Desenvolvedor (a) TypeScript · Fullstack — Kikos · 100% Remoto Estamos construindo do zero a nova plataforma de tecnologia da Kikos — uma das maiores r...
Desenvolvedor Devops,T MAIOR SERVICES,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-devops-em-__11830040.aspx,"Responsabilidades: Auxiliar nas atividades de mapeamento da infraestrutura de software do cliente, desenvolvimento e teste de ambientes. Executar os p..."
Desenvolvedor COBOL - Sênior Noturno,Não informada,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-desenvolvedor-cobol-senior-noturno-em-__11760533.aspx,"Atividades: Desenvolver, manter e otimizar programas e sistemas em ambiente Mainframe. Atuar ativamente na sustentação e correção de incidentes comple..."
Quality Engineer Pleno - E-Commerce,Não informada,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-quality-engineer-pleno-commerce-em-__12027162.aspx,"Missão do cargo: Desenvolver, manter e aprimorar estratégias de qualidade e automação de testes que garantam a confiabilidade, estabilidade e seguranç..."
Tester De Software Jr - Exclusivo PCD,Não informada,Todo Brasil,A combinar,https://www.infojobs.com.br/vaga-de-tester-software-jr-exclusivo-pcd-em-__12026422.aspx,"Estamos em busca de um Tester Jr, para atuar em nosso time de tecnologia. Buscamos um profissional que esteja cursando ou tenha concluído o Técnico ou..."
